Location_name,Data_id,indicator_name,Indicator_value,Indicator_Precision,Country_Name,Survey_Year,Survey_id,Indicator_Id,Indicator_Order,Indicator_type,Characteristic_Id,Characteristic_Order,Characteristic_Category,Characteristic_Label,ByVariable_Id,ByVariable_Label,Is_Total,Is_Preferred,SDR_ID,Region_Id,Survey_Year_Label,Survey_Type,Denominator_Weighted,Denominator_Unweighted,Level_Rank
Midwestern,2288252,Number of wives: Two or more wives,1.4,1,Nepal,2001,NP2001DHS,MA_WIVE_M_2PW,41564020,I,436004,1436004,Region,Midwestern,0,,0,1,MAWIVEM2PW,NPDHS2001436004,2001,DHS,237,239,2
Farwestern,5241607,Number of wives: Two or more wives,2.3,1,Nepal,2001,NP2001DHS,MA_WIVE_M_2PW,41564020,I,436005,1436005,Region,Farwestern,0,,0,1,MAWIVEM2PW,NPDHS2001436005,2001,DHS,161,305,2
Eastern,1081925,Median age at first marriage [Men]: 20-24,19.1,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M20,41634100,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM20,NPDHS2001436001,2001,DHS,,,2
Central,1081899,Median age at first marriage [Men]: 20-24,19,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M20,41634100,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM20,NPDHS2001436002,2001,DHS,,,2
Western,1097700,Median age at first marriage [Men]: 20-24,18.1,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M20,41634100,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM20,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090018,Median age at first marriage [Men]: 20-24,18.6,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M20,41634100,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM20,NPDHS2001436004,2001,DHS,,,2
Farwestern,1089986,Median age at first marriage [Men]: 20-24,19,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M20,41634100,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM20,NPDHS2001436005,2001,DHS,,,2
Eastern,1081923,Median age at first marriage [Men]: 25-29,20.5,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M25,41634110,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM25,NPDHS2001436001,2001,DHS,,,2
Central,1081897,Median age at first marriage [Men]: 25-29,19.8,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M25,41634110,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM25,NPDHS2001436002,2001,DHS,,,2
Western,1097697,Median age at first marriage [Men]: 25-29,21,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M25,41634110,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM25,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090021,Median age at first marriage [Men]: 25-29,19.8,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M25,41634110,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM25,NPDHS2001436004,2001,DHS,,,2
Farwestern,1089985,Median age at first marriage [Men]: 25-29,18.9,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M25,41634110,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM25,NPDHS2001436005,2001,DHS,,,2
Eastern,1081926,Median age at first marriage [Men]: 30-34,20.4,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M30,41634120,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM30,NPDHS2001436001,2001,DHS,,,2
Central,1081900,Median age at first marriage [Men]: 30-34,19.5,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M30,41634120,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM30,NPDHS2001436002,2001,DHS,,,2
Western,1097701,Median age at first marriage [Men]: 30-34,21,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M30,41634120,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM30,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090032,Median age at first marriage [Men]: 30-34,20.5,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M30,41634120,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM30,NPDHS2001436004,2001,DHS,,,2
Farwestern,1090008,Median age at first marriage [Men]: 30-34,20,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M30,41634120,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM30,NPDHS2001436005,2001,DHS,,,2
Eastern,1081928,Median age at first marriage [Men]: 35-39,20.7,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M35,41634130,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM35,NPDHS2001436001,2001,DHS,,,2
Central,1081909,Median age at first marriage [Men]: 35-39,20.2,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M35,41634130,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM35,NPDHS2001436002,2001,DHS,,,2
Western,1097703,Median age at first marriage [Men]: 35-39,21.1,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M35,41634130,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM35,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090024,Median age at first marriage [Men]: 35-39,19.7,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M35,41634130,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM35,NPDHS2001436004,2001,DHS,,,2
Farwestern,1089987,Median age at first marriage [Men]: 35-39,19.8,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M35,41634130,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM35,NPDHS2001436005,2001,DHS,,,2
Eastern,1081929,Median age at first marriage [Men]: 40-44,21,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M40,41634140,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM40,NPDHS2001436001,2001,DHS,,,2
Central,1081910,Median age at first marriage [Men]: 40-44,18.6,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M40,41634140,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM40,NPDHS2001436002,2001,DHS,,,2
Western,1097710,Median age at first marriage [Men]: 40-44,21.2,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M40,41634140,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM40,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090025,Median age at first marriage [Men]: 40-44,19.4,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M40,41634140,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM40,NPDHS2001436004,2001,DHS,,,2
Farwestern,1089988,Median age at first marriage [Men]: 40-44,18.9,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M40,41634140,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM40,NPDHS2001436005,2001,DHS,,,2
Eastern,1081930,Median age at first marriage [Men]: 45-49,20.7,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M45,41634150,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM45,NPDHS2001436001,2001,DHS,,,2
Central,1081911,Median age at first marriage [Men]: 45-49,19.1,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M45,41634150,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM45,NPDHS2001436002,2001,DHS,,,2
Western,1097711,Median age at first marriage [Men]: 45-49,20.6,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M45,41634150,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM45,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090026,Median age at first marriage [Men]: 45-49,19.1,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M45,41634150,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM45,NPDHS2001436004,2001,DHS,,,2
Farwestern,1089989,Median age at first marriage [Men]: 45-49,19.3,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M45,41634150,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM45,NPDHS2001436005,2001,DHS,,,2
Eastern,1081931,Median age at first marriage [Men]: 50-54,20.7,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M50,41634160,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM50,NPDHS2001436001,2001,DHS,,,2
Central,1081950,Median age at first marriage [Men]: 50-54,19.8,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M50,41634160,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM50,NPDHS2001436002,2001,DHS,,,2
Western,1097712,Median age at first marriage [Men]: 50-54,19,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M50,41634160,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM50,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090027,Median age at first marriage [Men]: 50-54,20.4,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M50,41634160,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM50,NPDHS2001436004,2001,DHS,,,2
Farwestern,1089995,Median age at first marriage [Men]: 50-54,18.5,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M50,41634160,I,436005,1436005,Region,Farwestern,0,,0,1,MAAAFMMM50,NPDHS2001436005,2001,DHS,,,2
Eastern,1081924,"Median age at first marriage [Men]: 25-49(54,59)",20.6,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M2B,41634180,I,436001,1436001,Region,Eastern,0,,0,1,MAAAFMMM2B,NPDHS2001436001,2001,DHS,,,2
Central,1081898,"Median age at first marriage [Men]: 25-49(54,59)",19.6,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M2B,41634180,I,436002,1436002,Region,Central,0,,0,1,MAAAFMMM2B,NPDHS2001436002,2001,DHS,,,2
Western,1097698,"Median age at first marriage [Men]: 25-49(54,59)",20.7,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M2B,41634180,I,436003,1436003,Region,Western,0,,0,1,MAAAFMMM2B,NPDHS2001436003,2001,DHS,,,2
Midwestern,1090023,"Median age at first marriage [Men]: 25-49(54,59)",19.8,1,Nepal,2001,NP2001DHS,MA_AAFM_M_M2B,41634180,I,436004,1436004,Region,Midwestern,0,,0,1,MAAAFMMM2B,NPDHS2001436004,2001,DHS,,,2
